"We suffer more often in imagination than in reality.","Seneca"
"He who fears death will never do anything worth of a man who is alive.","Seneca"
"How long are you going to wait before you demand the best for yourself?","Epictetus"
"The happiness of your life depends upon the quality of your thoughts.","Marcus Aurelius"
"You have power over your mind - not outside events. Realize this, and you will find strength.","Marcus Aurelius"
"It is not death that a man should fear, but he should fear never beginning to live.","Marcus Aurelius"
"The best revenge is to be unlike him who performed the injury.","Marcus Aurelius"
"Difficulties strengthen the mind, as labor does the body.","Seneca"
"The whole future lies in uncertainty: live immediately.","Seneca"
"First say to yourself what you would be; and then do what you have to do.","Epictetus"
"Man is not worried by real problems so much as by his imagined anxieties about real problems.","Epictetus"
"Circumstances don't make the man, they only reveal him to himself.","Epictetus"
"Don't explain your philosophy. Embody it.","Epictetus"
"If it is not right, do not do it; if it is not true, do not say it.","Marcus Aurelius"
"Whenever you are about to find fault with someone, ask yourself the following question: What fault of mine most nearly resembles the one I am about to criticize?","Marcus Aurelius"
"Begin at once to live, and count each separate day as a separate life.","Seneca"
"The soul becomes dyed with the color of its thoughts.","Marcus Aurelius"
"No man is free who is not master of himself.","Epictetus"
"To be even minded is the greatest virtue.","Marcus Aurelius"
"Luck is what happens when preparation meets opportunity.","Seneca"
"It is the power of the mind to be unconquerable.","Seneca"
"People are not disturbed by things, but by the views they take of them.","Epictetus"
"If you are pained by external things, it is not they that disturb you, but your own judgment of them. And it is in your power to wipe out that judgment now.","Marcus Aurelius"
"To love only what happens, what was destined. No greater harmony.","Marcus Aurelius"
"A gem cannot be polished without friction, nor a man perfected without trials.","Seneca"
"Wealth consists not in having great possessions, but in having few wants.","Epictetus"
"Nothing endures but change.","Heraclitus"
"Character is fate.","Heraclitus"
"Freedom is the only worthy goal in life. It is won by disregarding things that lie beyond our control.","Epictetus"
"Stop allowing your mind to be a slave, to be jerked about by selfish impulses, to kick against fate and the present, and to mistrust the future.","Marcus Aurelius"
"The greater the difficulty, the more glory in surmounting it. Skillful pilots gain their reputation from storms and tempests.","Seneca"
"Attach yourself to what is spiritually superior, regardless of what other people think or do. Hold to your true aspirations no matter what is going on around you.","Epictetus"
"It is not the man who has too little, but the man who craves more, that is poor.","Seneca"
"No man is good by chance. Virtue is something which must be learned.","Seneca"
"The things you think about determine the quality of your mind. Your soul takes on the color of your thoughts.","Marcus Aurelius"
"As is a tale, so is life: not how long it is, but how good it is, is what matters.","Seneca"
"Most powerful is he who has himself in his own power.","Seneca"
"The obstacle is the way.","Marcus Aurelius"
"Do not act as if you were going to live ten thousand years. Death hangs over you. While you live, while it is in your power, be good.","Marcus Aurelius"
"It is not events that disturb people, it is their judgements concerning them.","Epictetus"
"Only the educated are free.","Epictetus"
"The robbed that smiles, steals something from the thief.","Seneca"
"Fortune and self-command govern all things.","Marcus Aurelius"
"If you seek tranquility, do less.","Marcus Aurelius"
"Be tolerant with others and strict with yourself.","Marcus Aurelius"
"The universe is change; our life is what our thoughts make it.","Marcus Aurelius"
"Nothing happens to any man that he is not formed by nature to bear.","Marcus Aurelius"
"Every night before going to sleep, we must ask ourselves: what weakness did I overcome today? What virtue did I acquire?","Seneca"
"Don't seek for everything to happen as you wish it would, but rather wish that everything happens as it actually will - then your life will flow well.","Epictetus"
"It is impossible for a man to learn what he thinks he already knows.","Epictetus"
"Let us prepare our minds as if we'd come to the very end of life. Let us postpone nothing. Let us balance life's books each day.","Seneca"
"Accept the things to which fate binds you, and love the people with whom fate brings you together, but do so with all your heart.","Marcus Aurelius"
"Death smiles at us all, but all a man can do is smile back.","Marcus Aurelius"
"True happiness is... to enjoy the present, without anxious dependence upon the future.","Seneca"
"Throw me to the wolves and I will return leading the pack.","Seneca"
"Effort is what makes the impossible possible.","Epictetus"
"Do every act of your life as though it were the last act of your life.","Marcus Aurelius"
"Live out each day as if it were your last, but not in despair but in gratitude.","Seneca"
"Nature does not hurry, yet everything is accomplished.","Lao Tzu"
"What we do now echoes in eternity.","Marcus Aurelius"
"An angry man opens his mouth and shuts his eyes.","Marcus Aurelius"
"It does not matter what you bear, but how you bear it.","Seneca"
"Wealth is not about having a lot of money; it is about having a lot of options.","Epictetus"
"Know how to listen, and you will profit even from those who talk badly.","Plutarch"
